text,category,priority,recommendation,sla,city,area
"Dear Support, Would like to know if the herbal capsules are suitable for a vegan diet. Please resolve this.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Navrangpura
"Urgent: The tea leaves are ground a bit too fine, so they pass through my strainer.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Adajan
Urgent: The aroma of the chamomile tea is not as strong as I expected from the label description.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Dwarka
Complaint: Just wanted to give feedback that the protein bars are a little too hard to chew. Batch No: BATCH-8239.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Delhi,Navrangpura
Can you confirm if this aloe vera gel is oil-free and non-comedogenic?,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Satellite
"Dear Support, The skin serum feels slightly sticky for the first few minutes after application. Please resolve this.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Juhu
"Dear Support, Is there a minor recipe change in the vanilla health shake? The color looks lighter. Please resolve this.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Saket
Could you provide more details about the source of the marine collagen in the cream?,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Navrangpura
"Complaint: The face wash texture is slightly more liquid than the previous tube, but it still works okay. Batch No: BATCH-1685.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Vesu
"Dear Support, The flavor of the orange protein shake is a bit too sour for my liking. Please resolve this.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Bandra
"Hello team, Would like to know if the herbal capsules are suitable for a vegan diet. Need a response soon. Thanks.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Satellite
"Urgent: The tea leaves are ground a bit too fine, so they pass through my strainer.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Delhi,Navrangpura
The aroma of the chamomile tea is not as strong as I expected from the label description.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Bandra
Complaint: Just wanted to give feedback that the protein bars are a little too hard to chew. Batch No: BATCH-3900.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Mumbai,Adajan
Complaint: Can you confirm if this aloe vera gel is oil-free and non-comedogenic? Batch No: BATCH-6442.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Mumbai,Bandra
Urgent: The skin serum feels slightly sticky for the first few minutes after application.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Satellite
Is there a minor recipe change in the vanilla health shake? The color looks lighter. I am very disappointed.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Baner
Complaint: Could you provide more details about the source of the marine collagen in the cream? Batch No: BATCH-4269.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Mumbai,Vesu
"Urgent: The face wash texture is slightly more liquid than the previous tube, but it still works okay.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Bandra
"Dear Support, The flavor of the orange protein shake is a bit too sour for my liking. Please resolve this.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Ahmedabad,Navrangpura
Urgent: Would like to know if the herbal capsules are suitable for a vegan diet.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Satellite
"Urgent: The tea leaves are ground a bit too fine, so they pass through my strainer.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Juhu
The aroma of the chamomile tea is not as strong as I expected from the label description. I am very disappointed.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Delhi,Vesu
"Dear Support, Just wanted to give feedback that the protein bars are a little too hard to chew. Please resolve this.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Dwarka
Complaint: Can you confirm if this aloe vera gel is oil-free and non-comedogenic? Batch No: BATCH-5349.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Surat,Satellite
The skin serum feels slightly sticky for the first few minutes after application.,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Mumbai,Vesu
"Hello team, Is there a minor recipe change in the vanilla health shake? The color looks lighter. Need a response soon. Thanks.",Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Pune,Navrangpura
Could you provide more details about the source of the marine collagen in the cream?,Product,Low,Acknowledge feedback and share details with the R&D team for flavor/texture improvements. Provide a 15% discount coupon for the next order.,72 hours,Delhi,Satellite
The glass dropper bottle of facial oil arrived completely shattered. Shattered glass is everywhere inside the box. I am very disappointed.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Bandra
Urgent: The safety seal on the wellness supplement bottle was torn and open when I opened the parcel.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Surat,Navrangpura
"Dear Support, The lotion bottle was crushed during transit, and the liquid leaked, destroying other items in my delivery. Please resolve this.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Juhu
"Hello team, The glass jar of skin ointment is cracked, leaving the product exposed. I cannot use this safely. Need a response soon. Thanks.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Ahmedabad,Vesu
"The child-resistant safety cap on the supplement bottle was cracked, causing pills to spill out. I am very disappointed.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Surat,Vesu
"The body wash bottle cap was broken, and the entire liquid leaked out, soaking the cardboard box.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Pune,Satellite
"Hello team, The seal under the cap was missing completely on this protein powder tub. Is it safe to use? Need a response soon. Thanks.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Pune,Juhu
"Urgent: The glass bottle of massage oil broke in transit, and oil ruined my table where the box was kept.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Vesu
Received a damaged and opened tube of cream with product oozing out of the side seam. I am very disappointed.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Pune,Juhu
"Complaint: The packaging box arrived open, and the bottle inside was cracked, causing liquid to spill. Batch No: BATCH-4143.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Navrangpura
"Hello team, The glass dropper bottle of facial oil arrived completely shattered. Shattered glass is everywhere inside the box. Need a response soon. Thanks.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Ahmedabad,Saket
The safety seal on the wellness supplement bottle was torn and open when I opened the parcel.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Pune,Navrangpura
"The lotion bottle was crushed during transit, and the liquid leaked, destroying other items in my delivery.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Surat,Dwarka
"Urgent: The glass jar of skin ointment is cracked, leaving the product exposed. I cannot use this safely.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Ahmedabad,Navrangpura
"The child-resistant safety cap on the supplement bottle was cracked, causing pills to spill out.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Vesu
"The body wash bottle cap was broken, and the entire liquid leaked out, soaking the cardboard box. I am very disappointed.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Baner
"Hello team, The seal under the cap was missing completely on this protein powder tub. Is it safe to use? Need a response soon. Thanks.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Ahmedabad,Juhu
"The glass bottle of massage oil broke in transit, and oil ruined my table where the box was kept. I am very disappointed.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Ahmedabad,Satellite
Urgent: Received a damaged and opened tube of cream with product oozing out of the side seam.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Saket
"Urgent: The packaging box arrived open, and the bottle inside was cracked, causing liquid to spill.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Surat,Bandra
"Hello team, The glass dropper bottle of facial oil arrived completely shattered. Shattered glass is everywhere inside the box. Need a response soon. Thanks.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Pune,Bandra
Complaint: The safety seal on the wellness supplement bottle was torn and open when I opened the parcel. Batch No: BATCH-3414.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Surat,Adajan
"Complaint: The lotion bottle was crushed during transit, and the liquid leaked, destroying other items in my delivery. Batch No: BATCH-8784.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Satellite
"The glass jar of skin ointment is cracked, leaving the product exposed. I cannot use this safely. I am very disappointed.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Saket
"Complaint: The child-resistant safety cap on the supplement bottle was cracked, causing pills to spill out. Batch No: BATCH-7291.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Navrangpura
"Complaint: The body wash bottle cap was broken, and the entire liquid leaked out, soaking the cardboard box. Batch No: BATCH-3417.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Surat,Satellite
The seal under the cap was missing completely on this protein powder tub. Is it safe to use? I am very disappointed.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Ahmedabad,Kothrud
"Hello team, The glass bottle of massage oil broke in transit, and oil ruined my table where the box was kept. Need a response soon. Thanks.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Baner
"Dear Support, Received a damaged and opened tube of cream with product oozing out of the side seam. Please resolve this.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Bandra
"Dear Support, The packaging box arrived open, and the bottle inside was cracked, causing liquid to spill. Please resolve this.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Kothrud
The glass dropper bottle of facial oil arrived completely shattered. Shattered glass is everywhere inside the box. I am very disappointed.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Juhu
The safety seal on the wellness supplement bottle was torn and open when I opened the parcel.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Pune,Baner
"The lotion bottle was crushed during transit, and the liquid leaked, destroying other items in my delivery.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Navrangpura
"The glass jar of skin ointment is cracked, leaving the product exposed. I cannot use this safely.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Kothrud
"Hello team, The child-resistant safety cap on the supplement bottle was cracked, causing pills to spill out. Need a response soon. Thanks.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Baner
"Urgent: The body wash bottle cap was broken, and the entire liquid leaked out, soaking the cardboard box.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Ahmedabad,Dwarka
The seal under the cap was missing completely on this protein powder tub. Is it safe to use?,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Bandra
"Urgent: The glass bottle of massage oil broke in transit, and oil ruined my table where the box was kept.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Satellite
"Hello team, Received a damaged and opened tube of cream with product oozing out of the side seam. Need a response soon. Thanks.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Pune,Bandra
"Urgent: The packaging box arrived open, and the bottle inside was cracked, causing liquid to spill.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Pune,Vesu
The glass dropper bottle of facial oil arrived completely shattered. Shattered glass is everywhere inside the box.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Surat,Kothrud
Complaint: The safety seal on the wellness supplement bottle was torn and open when I opened the parcel. Batch No: BATCH-4788.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Kothrud
"Hello team, The lotion bottle was crushed during transit, and the liquid leaked, destroying other items in my delivery. Need a response soon. Thanks.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Ahmedabad,Satellite
"The glass jar of skin ointment is cracked, leaving the product exposed. I cannot use this safely. I am very disappointed.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Vesu
"The child-resistant safety cap on the supplement bottle was cracked, causing pills to spill out.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Navrangpura
"Dear Support, The body wash bottle cap was broken, and the entire liquid leaked out, soaking the cardboard box. Please resolve this.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Ahmedabad,Navrangpura
The seal under the cap was missing completely on this protein powder tub. Is it safe to use? I am very disappointed.,Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Delhi,Adajan
"The glass bottle of massage oil broke in transit, and oil ruined my table where the box was kept.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Baner
"Dear Support, Received a damaged and opened tube of cream with product oozing out of the side seam. Please resolve this.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Pune,Dwarka
"The packaging box arrived open, and the bottle inside was cracked, causing liquid to spill. I am very disappointed.",Packaging,High,"Apologize for the safety hazard of damaged packaging. Issue a refund or replacement immediately, and escalate to shipping/QA to review bottle durability.",24 hours,Mumbai,Juhu
"Hello team, The pump on the face serum bottle is jammed and won't dispense any liquid. Need a response soon. Thanks.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Delhi,Saket
Complaint: The child-lock mechanism on the vitamin bottle is defective; it spins freely and won't open. Batch No: BATCH-8999.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Dwarka
The spray nozzle on the rose water mist is blocked and shoots a stream instead of a fine mist. I am very disappointed.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Mumbai,Adajan
The printed dosage instructions on the back of the package are extremely blurry and unreadable. I am very disappointed.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Navrangpura
"Hello team, The cap on the oil bottle does not close tightly, causing it to slow-leak when stored horizontally. Need a response soon. Thanks.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Baner
Complaint: The dropper bulb is torn and does not suck up the liquid oil from the bottle. Batch No: BATCH-9751.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Surat,Navrangpura
"The label on the supplement bottle is peeling off, and I can't read the allergy warnings.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Delhi,Adajan
"Dear Support, The flip-top lid on the tube of face scrub snapped off on the first day of use. Please resolve this.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Mumbai,Kothrud
The package design makes it very difficult to squeeze out the thick paste from the tube. I am very disappointed.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Adajan
Urgent: The scoop inside the protein powder tub was broken in half.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Mumbai,Vesu
Complaint: The pump on the face serum bottle is jammed and won't dispense any liquid. Batch No: BATCH-8449.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Vesu
The child-lock mechanism on the vitamin bottle is defective; it spins freely and won't open. I am very disappointed.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Navrangpura
Urgent: The spray nozzle on the rose water mist is blocked and shoots a stream instead of a fine mist.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Surat,Baner
"Dear Support, The printed dosage instructions on the back of the package are extremely blurry and unreadable. Please resolve this.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Delhi,Adajan
"Urgent: The cap on the oil bottle does not close tightly, causing it to slow-leak when stored horizontally.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Satellite
"Hello team, The dropper bulb is torn and does not suck up the liquid oil from the bottle. Need a response soon. Thanks.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Surat,Adajan
"Complaint: The label on the supplement bottle is peeling off, and I can't read the allergy warnings. Batch No: BATCH-4266.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Surat,Saket
Complaint: The flip-top lid on the tube of face scrub snapped off on the first day of use. Batch No: BATCH-4908.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Baner
"Hello team, The package design makes it very difficult to squeeze out the thick paste from the tube. Need a response soon. Thanks.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Surat,Saket
Complaint: The scoop inside the protein powder tub was broken in half. Batch No: BATCH-8619.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Vesu
Complaint: The pump on the face serum bottle is jammed and won't dispense any liquid. Batch No: BATCH-2876.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Dwarka
"Dear Support, The child-lock mechanism on the vitamin bottle is defective; it spins freely and won't open. Please resolve this.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Delhi,Adajan
Urgent: The spray nozzle on the rose water mist is blocked and shoots a stream instead of a fine mist.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Delhi,Navrangpura
The printed dosage instructions on the back of the package are extremely blurry and unreadable. I am very disappointed.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Satellite
"The cap on the oil bottle does not close tightly, causing it to slow-leak when stored horizontally.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Satellite
"Hello team, The dropper bulb is torn and does not suck up the liquid oil from the bottle. Need a response soon. Thanks.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Saket
"Dear Support, The label on the supplement bottle is peeling off, and I can't read the allergy warnings. Please resolve this.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Delhi,Adajan
Urgent: The flip-top lid on the tube of face scrub snapped off on the first day of use.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Delhi,Navrangpura
"Hello team, The package design makes it very difficult to squeeze out the thick paste from the tube. Need a response soon. Thanks.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Satellite
The scoop inside the protein powder tub was broken in half.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Adajan
The pump on the face serum bottle is jammed and won't dispense any liquid. I am very disappointed.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Mumbai,Satellite
The child-lock mechanism on the vitamin bottle is defective; it spins freely and won't open. I am very disappointed.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Baner
"Hello team, The spray nozzle on the rose water mist is blocked and shoots a stream instead of a fine mist. Need a response soon. Thanks.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Navrangpura
Complaint: The printed dosage instructions on the back of the package are extremely blurry and unreadable. Batch No: BATCH-9548.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Saket
"The cap on the oil bottle does not close tightly, causing it to slow-leak when stored horizontally.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Mumbai,Baner
The dropper bulb is torn and does not suck up the liquid oil from the bottle. I am very disappointed.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Delhi,Dwarka
"Urgent: The label on the supplement bottle is peeling off, and I can't read the allergy warnings.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Satellite
Urgent: The flip-top lid on the tube of face scrub snapped off on the first day of use.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Mumbai,Bandra
The package design makes it very difficult to squeeze out the thick paste from the tube. I am very disappointed.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Delhi,Saket
"Hello team, The scoop inside the protein powder tub was broken in half. Need a response soon. Thanks.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Mumbai,Vesu
"Dear Support, The pump on the face serum bottle is jammed and won't dispense any liquid. Please resolve this.",Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Mumbai,Vesu
Complaint: The child-lock mechanism on the vitamin bottle is defective; it spins freely and won't open. Batch No: BATCH-8988.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Ahmedabad,Vesu
Urgent: The spray nozzle on the rose water mist is blocked and shoots a stream instead of a fine mist.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Dwarka
The printed dosage instructions on the back of the package are extremely blurry and unreadable.,Packaging,Medium,"Apologize for the inconvenience. Ship a replacement pump/dispenser or a new product, and report the transit damage to the logistics department.",48 hours,Pune,Juhu
